Date,Open,High,Low,Close,Adj Close
2022-05-16,8454.1,8524.35,8392.95,8443.55,8443.55
2022-05-13,8350.2,8507.96,8350.2,8476.57,8476.57
2022-05-12,8223,8351.14,8128.22,8278.04,8278.04
2022-05-11,8401.4,8525.26,8272.42,8285.82,8285.82
2022-05-10,8496.04,8565.3,8334.14,8424.2,8424.2
2022-05-09,8593.05,8593.05,8370.88,8403.5,8403.5
2022-05-06,8691.14,8752.97,8564.3,8680.97,8680.97
2022-05-05,8989.28,8989.28,8643.29,8729.21,8729.21
2022-05-04,8800.46,9066.51,8732.67,9050.9,9050.9
2022-05-03,8755.32,8839.96,8729.02,8788.36,8788.36
2022-05-02,8693.93,8776.43,8550.83,8746.05,8746.05
2022-04-29,8953.04,8986.5,8680.71,8696.65,8696.65
2022-04-28,8886.8,9067.34,8815.99,9023.42,9023.42
2022-04-27,8810.4,8924.25,8761.2,8805,8805
2022-04-26,9003.1,9003.1,8786.4,8786.47,8786.47
2022-04-25,8955.04,9046.46,8840.41,9040.86,9040.86
2022-04-22,9229.52,9229.52,8981.6,8989.51,8989.51
2022-04-21,9446.82,9496.55,9226.91,9245.86,9245.86
2022-04-20,9410.49,9444.06,9361.27,9383.54,9383.54
2022-04-19,9238.6,9407.77,9238.6,9389.21,9389.21
2022-04-18,9227.93,9279.87,9195.97,9240.69,9240.69
2022-04-14,9361.53,9384.94,9238.99,9242.58,9242.58
2022-04-13,9246.21,9371.63,9243.94,9356.21,9356.21
2022-04-12,9335.52,9404.96,9217.86,9251.07,9251.07
2022-04-11,9387.89,9391.48,9273.87,9282.48,9282.48
2022-04-08,9454.18,9509.41,9413.65,9441.84,9441.84
2022-04-07,9412.99,9510.58,9361.95,9466.76,9466.76
2022-04-06,9452.87,9473.42,9360.23,9425.49,9425.49
2022-04-05,9617.48,9661.63,9494.91,9517.94,9517.94
2022-04-04,9564.47,9639.14,9546.38,9637.37,9637.37
2022-04-01,9548.31,9565.83,9479.45,9559.95,9559.95
2022-03-31,9671.74,9680.18,9527.45,9527.46,9527.46
2022-03-30,9724.03,9731.16,9633.88,9678.3,9678.3
2022-03-29,9678.15,9750.44,9650.41,9738.6,9738.6
2022-03-28,9548.27,9620.95,9499.37,9620.66,9620.66
2022-03-25,9510.04,9558.46,9464.22,9552.4,9552.4
2022-03-24,9398.69,9504.7,9388.66,9504.19,9504.19
2022-03-23,9446.48,9463.16,9368.39,9368.98,9368.98
2022-03-22,9395.5,9505.77,9395.5,9484.86,9484.86
2022-03-21,9381.4,9421.46,9301.54,9378.84,9378.84
2022-03-18,9265.18,9386.8,9230.81,9382.43,9382.43
2022-03-17,9134.27,9274.21,9114.38,9274.17,9274.17
2022-03-16,9013.97,9162.34,8938.21,9160.51,9160.51
2022-03-15,8804.98,8977.79,8803.38,8959.74,8959.74
2022-03-14,8834.04,8927.8,8747.96,8771.75,8771.75
2022-03-11,8993.39,9017.48,8828.45,8835.4,8835.4
2022-03-10,8936.24,8969.29,8846.43,8950.9,8950.9
2022-03-09,8873.56,9033.47,8873.56,8988.65,8988.65
2022-03-08,8829.25,8985.13,8735.52,8762.11,8762.11
2022-03-07,9090.26,9090.26,8823.5,8825.72,8825.72
2022-03-04,9121.87,9121.87,9001.97,9094.04,9094.04
2022-03-03,9245.58,9277.91,9128.62,9166.13,9166.13
2022-03-02,9079.01,9244.05,9079.01,9213.39,9213.39
2022-03-01,9163.93,9195.42,8988.44,9044.47,9044.47
2022-02-28,9144.86,9217.66,9062.86,9186.37,9186.37
2022-02-25,9026.7,9209.3,9003.59,9207.85,9207.85
2022-02-24,8726.27,9017.3,8639.94,9005.37,9005.37
2022-02-23,9080.71,9115.52,8863.56,8871.95,8871.95
2022-02-22,9097.07,9158.75,8959.46,9038.32,9038.32
2022-02-18,9205.75,9226.43,9085.43,9130.81,9130.81
2022-02-17,9354.45,9354.45,9181.85,9195.35,9195.35
2022-02-16,9352.68,9421.53,9298.03,9393.09,9393.09
2022-02-15,9295.86,9386.9,9295.86,9383.57,9383.57
